id_location,fk_parent_location,name,description,count
3713,13,0217D04,MZ1-0217D04,6
3714,13,0217D05,MZ1-0217D05,5
3715,13,0217D06,MZ1-0217D06,3
3716,13,0218D01,MZ1-0218D01,18
3717,13,0218D02,MZ1-0218D02,3
3718,13,0218D03,MZ1-0218D03,13
3719,13,0218D04,MZ1-0218D04,12
3720,13,0218D05,MZ1-0218D05,13
3721,13,0218D06,MZ1-0218D06,14
3722,13,0219D01,MZ1-0219D01,7
3723,13,0219D02,MZ1-0219D02,6
3724,13,0219D03,MZ1-0219D03,7
3725,13,0219D04,MZ1-0219D04,1
3726,13,0219D05,MZ1-0219D05,19
3727,13,0219D06,MZ1-0219D06,27
3728,13,0220D01,MZ1-0220D01,5
3729,13,0220D02,MZ1-0220D02,9
3730,13,0220D03,MZ1-0220D03,15
3731,13,0220D04,MZ1-0220D04,30
3732,13,0220D05,MZ1-0220D05,40
3733,13,0220D06,MZ1-0220D06,27
3734,13,0223D01,MZ1-0223D01,8
3735,13,0223D02,MZ1-0223D02,25
3736,13,0223D03,MZ1-0223D03,3
3737,13,0223D04,MZ1-0223D04,3
3738,13,0223D05,MZ1-0223D05,5
3739,13,0223D06,MZ1-0223D06,29
3740,13,0224D01,MZ1-0224D01,28
3741,13,0224D02,MZ1-0224D02,9
3742,13,0224D03,MZ1-0224D03,4
3743,13,0224D04,MZ1-0224D04,9
3744,13,0224D05,MZ1-0224D05,39
3745,13,0224D06,MZ1-0224D06,18
3746,13,0225D01,MZ1-0225D01,3
3747,13,0225D02,MZ1-0225D02,5
3748,13,0225D03,MZ1-0225D03,1
3749,13,0225D04,MZ1-0225D04,1
3750,13,0225D05,MZ1-0225D05,7
3751,13,0225D06,MZ1-0225D06,26
3752,13,0226D01,MZ1-0226D01,8
3753,13,0226D02,MZ1-0226D02,53
3754,13,0226D03,MZ1-0226D03,6
3755,13,0226D04,MZ1-0226D04,3
3756,13,0226D05,MZ1-0226D05,72
3757,13,0226D06,MZ1-0226D06,37
3758,13,0227D01,MZ1-0227D01,14
3759,13,0227D02,MZ1-0227D02,4
3760,13,0227D03,MZ1-0227D03,4
3761,13,0227D04,MZ1-0227D04,4
3762,13,0227D05,MZ1-0227D05,4
3763,13,0227D06,MZ1-0227D06,4
3764,13,0228D01,MZ1-0228D01,15
3765,13,0228D02,MZ1-0228D02,16
3766,13,0228D03,MZ1-0228D03,2
3767,13,0228D04,MZ1-0228D04,4
3768,13,0228D05,MZ1-0228D05,4
3769,13,0228D06,MZ1-0228D06,2
3770,13,0229D01,MZ1-0229D01,2
3771,13,0229D02,MZ1-0229D02,4
